Date,Festive Period,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
23/2/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
23/2/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
23/2/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
23/2/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
24/2/2020,B,Airport,Arrival,12267,451,1792,14510
24/2/2020,B,Airport,Departure,8041,231,1919,10191
24/2/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
24/2/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
24/2/2020,B,Hung Hom,Arrival,0,0,0,0
24/2/2020,B,Hung Hom,Departure,0,0,0,0
24/2/2020,B,Lo Wu,Arrival,0,0,0,0
24/2/2020,B,Lo Wu,Departure,0,0,0,0
24/2/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
24/2/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
24/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,3352,7,611,3970
24/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,4211,74,682,4967
24/2/2020,B,Lok Ma Chau,Arrival,0,0,0,0
24/2/2020,B,Lok Ma Chau,Departure,0,0,0,0
24/2/2020,B,Man Kam To,Arrival,0,0,0,0
24/2/2020,B,Man Kam To,Departure,0,0,0,0
24/2/2020,B,Sha Tau Kok,Arrival,0,0,0,0
24/2/2020,B,Sha Tau Kok,Departure,0,0,0,0
24/2/2020,B,Shenzhen Bay,Arrival,1353,130,7,1490
24/2/2020,B,Shenzhen Bay,Departure,1964,482,181,2627
24/2/2020,B,China Ferry Terminal,Arrival,0,0,0,0
24/2/2020,B,China Ferry Terminal,Departure,0,0,0,0
24/2/2020,B,Harbour Control,Arrival,0,0,0,0
24/2/2020,B,Harbour Control,Departure,0,0,0,0
24/2/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
24/2/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
24/2/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
24/2/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
24/2/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
24/2/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
25/2/2020,B,Airport,Arrival,10734,414,1471,12619
25/2/2020,B,Airport,Departure,7458,181,1574,9213
25/2/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
25/2/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
25/2/2020,B,Hung Hom,Arrival,0,0,0,0
25/2/2020,B,Hung Hom,Departure,0,0,0,0
25/2/2020,B,Lo Wu,Arrival,0,0,0,0
25/2/2020,B,Lo Wu,Departure,0,0,0,0
25/2/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
25/2/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
25/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,3145,13,591,3749
25/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,3281,88,593,3962
25/2/2020,B,Lok Ma Chau,Arrival,0,0,0,0
25/2/2020,B,Lok Ma Chau,Departure,0,0,0,0
25/2/2020,B,Man Kam To,Arrival,0,0,0,0
25/2/2020,B,Man Kam To,Departure,0,0,0,0
25/2/2020,B,Sha Tau Kok,Arrival,0,0,0,0
25/2/2020,B,Sha Tau Kok,Departure,0,0,0,0
25/2/2020,B,Shenzhen Bay,Arrival,1328,131,5,1464
25/2/2020,B,Shenzhen Bay,Departure,1510,503,141,2154
25/2/2020,B,China Ferry Terminal,Arrival,0,0,0,0
25/2/2020,B,China Ferry Terminal,Departure,0,0,0,0
25/2/2020,B,Harbour Control,Arrival,0,0,0,0
25/2/2020,B,Harbour Control,Departure,0,0,0,0
25/2/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
25/2/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
25/2/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
25/2/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
25/2/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
25/2/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
26/2/2020,B,Airport,Arrival,9882,410,1484,11776
26/2/2020,B,Airport,Departure,7629,212,1521,9362
26/2/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
26/2/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
26/2/2020,B,Hung Hom,Arrival,0,0,0,0
26/2/2020,B,Hung Hom,Departure,0,0,0,0
26/2/2020,B,Lo Wu,Arrival,0,0,0,0
26/2/2020,B,Lo Wu,Departure,0,0,0,0
26/2/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
26/2/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
26/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,3233,11,662,3906
26/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,3424,78,580,4082
26/2/2020,B,Lok Ma Chau,Arrival,0,0,0,0
26/2/2020,B,Lok Ma Chau,Departure,0,0,0,0
26/2/2020,B,Man Kam To,Arrival,0,0,0,0
26/2/2020,B,Man Kam To,Departure,0,0,0,0
26/2/2020,B,Sha Tau Kok,Arrival,0,0,0,0
26/2/2020,B,Sha Tau Kok,Departure,0,0,0,0
26/2/2020,B,Shenzhen Bay,Arrival,1202,166,11,1379
26/2/2020,B,Shenzhen Bay,Departure,1695,548,179,2422
26/2/2020,B,China Ferry Terminal,Arrival,0,0,0,0
26/2/2020,B,China Ferry Terminal,Departure,0,0,0,0
26/2/2020,B,Harbour Control,Arrival,0,0,0,0
26/2/2020,B,Harbour Control,Departure,0,0,0,0
26/2/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
26/2/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
26/2/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
26/2/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
26/2/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
26/2/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
27/2/2020,B,Airport,Arrival,9177,512,1780,11469
27/2/2020,B,Airport,Departure,9051,168,1501,10720
27/2/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
27/2/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
27/2/2020,B,Hung Hom,Arrival,0,0,0,0
27/2/2020,B,Hung Hom,Departure,0,0,0,0
27/2/2020,B,Lo Wu,Arrival,0,0,0,0
27/2/2020,B,Lo Wu,Departure,0,0,0,0
27/2/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
27/2/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
27/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,3420,20,616,4056
27/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,3672,99,670,4441
27/2/2020,B,Lok Ma Chau,Arrival,0,0,0,0
27/2/2020,B,Lok Ma Chau,Departure,0,0,0,0
27/2/2020,B,Man Kam To,Arrival,0,0,0,0
27/2/2020,B,Man Kam To,Departure,0,0,0,0
27/2/2020,B,Sha Tau Kok,Arrival,0,0,0,0
27/2/2020,B,Sha Tau Kok,Departure,0,0,0,0
27/2/2020,B,Shenzhen Bay,Arrival,1249,170,8,1427
27/2/2020,B,Shenzhen Bay,Departure,1564,647,183,2394
27/2/2020,B,China Ferry Terminal,Arrival,0,0,0,0
27/2/2020,B,China Ferry Terminal,Departure,0,0,0,0
27/2/2020,B,Harbour Control,Arrival,0,0,0,0
27/2/2020,B,Harbour Control,Departure,0,0,0,0
27/2/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
27/2/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
27/2/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
27/2/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
27/2/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
27/2/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
28/2/2020,B,Airport,Arrival,9205,369,1767,11341
28/2/2020,B,Airport,Departure,10755,255,1747,12757
28/2/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
28/2/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
28/2/2020,B,Hung Hom,Arrival,0,0,0,0
28/2/2020,B,Hung Hom,Departure,0,0,0,0
28/2/2020,B,Lo Wu,Arrival,0,0,0,0
28/2/2020,B,Lo Wu,Departure,0,0,0,0
28/2/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
28/2/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
28/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,4763,8,865,5636
28/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,4669,90,663,5422
28/2/2020,B,Lok Ma Chau,Arrival,0,0,0,0
28/2/2020,B,Lok Ma Chau,Departure,0,0,0,0
28/2/2020,B,Man Kam To,Arrival,0,0,0,0
28/2/2020,B,Man Kam To,Departure,0,0,0,0
28/2/2020,B,Sha Tau Kok,Arrival,0,0,0,0
28/2/2020,B,Sha Tau Kok,Departure,0,0,0,0
28/2/2020,B,Shenzhen Bay,Arrival,1280,181,10,1471
28/2/2020,B,Shenzhen Bay,Departure,1724,566,175,2465
28/2/2020,B,China Ferry Terminal,Arrival,0,0,0,0
28/2/2020,B,China Ferry Terminal,Departure,0,0,0,0
28/2/2020,B,Harbour Control,Arrival,0,0,0,0
28/2/2020,B,Harbour Control,Departure,0,0,0,0
28/2/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
28/2/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
28/2/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
28/2/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
28/2/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
28/2/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
29/2/2020,B,Airport,Arrival,11818,870,1893,14581
29/2/2020,B,Airport,Departure,9860,230,1688,11778
29/2/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
29/2/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
29/2/2020,B,Hung Hom,Arrival,0,0,0,0
29/2/2020,B,Hung Hom,Departure,0,0,0,0
29/2/2020,B,Lo Wu,Arrival,0,0,0,0
29/2/2020,B,Lo Wu,Departure,0,0,0,0
29/2/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
29/2/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
29/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,4676,19,901,5596
29/2/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,4866,87,787,5740
29/2/2020,B,Lok Ma Chau,Arrival,0,0,0,0
29/2/2020,B,Lok Ma Chau,Departure,0,0,0,0
29/2/2020,B,Man Kam To,Arrival,0,0,0,0
29/2/2020,B,Man Kam To,Departure,0,0,0,0
29/2/2020,B,Sha Tau Kok,Arrival,0,0,0,0
29/2/2020,B,Sha Tau Kok,Departure,0,0,0,0
29/2/2020,B,Shenzhen Bay,Arrival,1387,195,3,1585
29/2/2020,B,Shenzhen Bay,Departure,1807,947,329,3083
29/2/2020,B,China Ferry Terminal,Arrival,0,0,0,0
29/2/2020,B,China Ferry Terminal,Departure,0,0,0,0
29/2/2020,B,Harbour Control,Arrival,0,0,0,0
29/2/2020,B,Harbour Control,Departure,0,0,0,0
29/2/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
29/2/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
29/2/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
29/2/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
29/2/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
29/2/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
1/3/2020,B,Airport,Arrival,14584,1122,2461,18167
1/3/2020,B,Airport,Departure,9115,354,1850,11319
1/3/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
1/3/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
1/3/2020,B,Hung Hom,Arrival,0,0,0,0
1/3/2020,B,Hung Hom,Departure,0,0,0,0
1/3/2020,B,Lo Wu,Arrival,0,0,0,0
1/3/2020,B,Lo Wu,Departure,0,0,0,0
1/3/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
1/3/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
1/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,4820,13,767,5600
1/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,4587,194,905,5686
1/3/2020,B,Lok Ma Chau,Arrival,0,0,0,0
1/3/2020,B,Lok Ma Chau,Departure,0,0,0,0
1/3/2020,B,Man Kam To,Arrival,0,0,0,0
1/3/2020,B,Man Kam To,Departure,0,0,0,0
1/3/2020,B,Sha Tau Kok,Arrival,0,0,0,0
1/3/2020,B,Sha Tau Kok,Departure,0,0,0,0
1/3/2020,B,Shenzhen Bay,Arrival,1587,211,9,1807
1/3/2020,B,Shenzhen Bay,Departure,2053,1247,931,4231
1/3/2020,B,China Ferry Terminal,Arrival,0,0,0,0
1/3/2020,B,China Ferry Terminal,Departure,0,0,0,0
1/3/2020,B,Harbour Control,Arrival,0,0,0,0
1/3/2020,B,Harbour Control,Departure,0,0,0,0
1/3/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
1/3/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
1/3/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
1/3/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
1/3/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
1/3/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
2/3/2020,B,Airport,Arrival,10261,732,1935,12928
2/3/2020,B,Airport,Departure,6755,206,1314,8275
2/3/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
2/3/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
2/3/2020,B,Hung Hom,Arrival,0,0,0,0
2/3/2020,B,Hung Hom,Departure,0,0,0,0
2/3/2020,B,Lo Wu,Arrival,0,0,0,0
2/3/2020,B,Lo Wu,Departure,0,0,0,0
2/3/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
2/3/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
2/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,4244,10,738,4992
2/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,5321,93,836,6250
2/3/2020,B,Lok Ma Chau,Arrival,0,0,0,0
2/3/2020,B,Lok Ma Chau,Departure,0,0,0,0
2/3/2020,B,Man Kam To,Arrival,0,0,0,0
2/3/2020,B,Man Kam To,Departure,0,0,0,0
2/3/2020,B,Sha Tau Kok,Arrival,0,0,0,0
2/3/2020,B,Sha Tau Kok,Departure,0,0,0,0
2/3/2020,B,Shenzhen Bay,Arrival,2124,231,9,2364
2/3/2020,B,Shenzhen Bay,Departure,2551,924,655,4130
2/3/2020,B,China Ferry Terminal,Arrival,0,0,0,0
2/3/2020,B,China Ferry Terminal,Departure,0,0,0,0
2/3/2020,B,Harbour Control,Arrival,0,0,0,0
2/3/2020,B,Harbour Control,Departure,0,0,0,0
2/3/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
2/3/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
2/3/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
2/3/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
2/3/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
2/3/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
3/3/2020,B,Airport,Arrival,7960,734,1923,10617
3/3/2020,B,Airport,Departure,6684,190,1349,8223
3/3/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
3/3/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
3/3/2020,B,Hung Hom,Arrival,0,0,0,0
3/3/2020,B,Hung Hom,Departure,0,0,0,0
3/3/2020,B,Lo Wu,Arrival,0,0,0,0
3/3/2020,B,Lo Wu,Departure,0,0,0,0
3/3/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
3/3/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
3/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,4398,19,756,5173
3/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,4798,117,780,5695
3/3/2020,B,Lok Ma Chau,Arrival,0,0,0,0
3/3/2020,B,Lok Ma Chau,Departure,0,0,0,0
3/3/2020,B,Man Kam To,Arrival,0,0,0,0
3/3/2020,B,Man Kam To,Departure,0,0,0,0
3/3/2020,B,Sha Tau Kok,Arrival,0,0,0,0
3/3/2020,B,Sha Tau Kok,Departure,0,0,0,0
3/3/2020,B,Shenzhen Bay,Arrival,1479,165,3,1647
3/3/2020,B,Shenzhen Bay,Departure,1970,793,667,3430
3/3/2020,B,China Ferry Terminal,Arrival,0,0,0,0
3/3/2020,B,China Ferry Terminal,Departure,0,0,0,0
3/3/2020,B,Harbour Control,Arrival,0,0,0,0
3/3/2020,B,Harbour Control,Departure,0,0,0,0
3/3/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
3/3/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
3/3/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
3/3/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
3/3/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
3/3/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
4/3/2020,B,Airport,Arrival,7590,772,1847,10209
4/3/2020,B,Airport,Departure,7170,213,1123,8506
4/3/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
4/3/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
4/3/2020,B,Hung Hom,Arrival,0,0,0,0
4/3/2020,B,Hung Hom,Departure,0,0,0,0
4/3/2020,B,Lo Wu,Arrival,0,0,0,0
4/3/2020,B,Lo Wu,Departure,0,0,0,0
4/3/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
4/3/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
4/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,4368,9,753,5130
4/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,4539,92,802,5433
4/3/2020,B,Lok Ma Chau,Arrival,0,0,0,0
4/3/2020,B,Lok Ma Chau,Departure,0,0,0,0
4/3/2020,B,Man Kam To,Arrival,0,0,0,0
4/3/2020,B,Man Kam To,Departure,0,0,0,0
4/3/2020,B,Sha Tau Kok,Arrival,0,0,0,0
4/3/2020,B,Sha Tau Kok,Departure,0,0,0,0
4/3/2020,B,Shenzhen Bay,Arrival,1306,192,7,1505
4/3/2020,B,Shenzhen Bay,Departure,1684,806,664,3154
4/3/2020,B,China Ferry Terminal,Arrival,0,0,0,0
4/3/2020,B,China Ferry Terminal,Departure,0,0,0,0
4/3/2020,B,Harbour Control,Arrival,0,0,0,0
4/3/2020,B,Harbour Control,Departure,0,0,0,0
4/3/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
4/3/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
4/3/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
4/3/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
4/3/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
4/3/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
5/3/2020,B,Airport,Arrival,7074,673,1749,9496
5/3/2020,B,Airport,Departure,8141,190,1289,9620
5/3/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
5/3/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
5/3/2020,B,Hung Hom,Arrival,0,0,0,0
5/3/2020,B,Hung Hom,Departure,0,0,0,0
5/3/2020,B,Lo Wu,Arrival,0,0,0,0
5/3/2020,B,Lo Wu,Departure,0,0,0,0
5/3/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
5/3/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
5/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,4752,17,782,5551
5/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,4999,96,776,5871
5/3/2020,B,Lok Ma Chau,Arrival,0,0,0,0
5/3/2020,B,Lok Ma Chau,Departure,0,0,0,0
5/3/2020,B,Man Kam To,Arrival,0,0,0,0
5/3/2020,B,Man Kam To,Departure,0,0,0,0
5/3/2020,B,Sha Tau Kok,Arrival,0,0,0,0
5/3/2020,B,Sha Tau Kok,Departure,0,0,0,0
5/3/2020,B,Shenzhen Bay,Arrival,1419,226,3,1648
5/3/2020,B,Shenzhen Bay,Departure,1589,767,638,2994
5/3/2020,B,China Ferry Terminal,Arrival,0,0,0,0
5/3/2020,B,China Ferry Terminal,Departure,0,0,0,0
5/3/2020,B,Harbour Control,Arrival,0,0,0,0
5/3/2020,B,Harbour Control,Departure,0,0,0,0
5/3/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
5/3/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
5/3/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
5/3/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
5/3/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
5/3/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
6/3/2020,B,Airport,Arrival,7474,705,1877,10056
6/3/2020,B,Airport,Departure,8746,215,1150,10111
6/3/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
6/3/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
6/3/2020,B,Hung Hom,Arrival,0,0,0,0
6/3/2020,B,Hung Hom,Departure,0,0,0,0
6/3/2020,B,Lo Wu,Arrival,0,0,0,0
6/3/2020,B,Lo Wu,Departure,0,0,0,0
6/3/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
6/3/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
6/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,6255,22,894,7171
6/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,6030,116,768,6914
6/3/2020,B,Lok Ma Chau,Arrival,0,0,0,0
6/3/2020,B,Lok Ma Chau,Departure,0,0,0,0
6/3/2020,B,Man Kam To,Arrival,0,0,0,0
6/3/2020,B,Man Kam To,Departure,0,0,0,0
6/3/2020,B,Sha Tau Kok,Arrival,0,0,0,0
6/3/2020,B,Sha Tau Kok,Departure,0,0,0,0
6/3/2020,B,Shenzhen Bay,Arrival,1425,251,8,1684
6/3/2020,B,Shenzhen Bay,Departure,1550,734,544,2828
6/3/2020,B,China Ferry Terminal,Arrival,0,0,0,0
6/3/2020,B,China Ferry Terminal,Departure,0,0,0,0
6/3/2020,B,Harbour Control,Arrival,0,0,0,0
6/3/2020,B,Harbour Control,Departure,0,0,0,0
6/3/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
6/3/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
6/3/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
6/3/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
6/3/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
6/3/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
7/3/2020,B,Airport,Arrival,8659,795,1919,11373
7/3/2020,B,Airport,Departure,7316,216,1398,8930
7/3/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
7/3/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
7/3/2020,B,Hung Hom,Arrival,0,0,0,0
7/3/2020,B,Hung Hom,Departure,0,0,0,0
7/3/2020,B,Lo Wu,Arrival,0,0,0,0
7/3/2020,B,Lo Wu,Departure,0,0,0,0
7/3/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
7/3/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
7/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,5935,26,973,6934
7/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,6440,132,903,7475
7/3/2020,B,Lok Ma Chau,Arrival,0,0,0,0
7/3/2020,B,Lok Ma Chau,Departure,0,0,0,0
7/3/2020,B,Man Kam To,Arrival,0,0,0,0
7/3/2020,B,Man Kam To,Departure,0,0,0,0
7/3/2020,B,Sha Tau Kok,Arrival,0,0,0,0
7/3/2020,B,Sha Tau Kok,Departure,0,0,0,0
7/3/2020,B,Shenzhen Bay,Arrival,1180,269,2,1451
7/3/2020,B,Shenzhen Bay,Departure,1380,856,622,2858
7/3/2020,B,China Ferry Terminal,Arrival,0,0,0,0
7/3/2020,B,China Ferry Terminal,Departure,0,0,0,0
7/3/2020,B,Harbour Control,Arrival,0,0,0,0
7/3/2020,B,Harbour Control,Departure,0,0,0,0
7/3/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
7/3/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
7/3/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
7/3/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
7/3/2020,B,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
7/3/2020,B,Tuen Mun Ferry Terminal,Departure,0,0,0,0
8/3/2020,B,Airport,Arrival,12538,730,1833,15101
8/3/2020,B,Airport,Departure,6371,276,1376,8023
8/3/2020,B,Express Rail Link West Kowloon,Arrival,0,0,0,0
8/3/2020,B,Express Rail Link West Kowloon,Departure,0,0,0,0
8/3/2020,B,Hung Hom,Arrival,0,0,0,0
8/3/2020,B,Hung Hom,Departure,0,0,0,0
8/3/2020,B,Lo Wu,Arrival,0,0,0,0
8/3/2020,B,Lo Wu,Departure,0,0,0,0
8/3/2020,B,Lok Ma Chau Spur Line,Arrival,0,0,0,0
8/3/2020,B,Lok Ma Chau Spur Line,Departure,0,0,0,0
8/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Arrival,6331,23,806,7160
8/3/2020,B,Hong Kong-Zhuhai-Macao Bridge,Departure,5935,109,1127,7171
8/3/2020,B,Lok Ma Chau,Arrival,0,0,0,0
8/3/2020,B,Lok Ma Chau,Departure,0,0,0,0
8/3/2020,B,Man Kam To,Arrival,0,0,0,0
8/3/2020,B,Man Kam To,Departure,0,0,0,0
8/3/2020,B,Sha Tau Kok,Arrival,0,0,0,0
8/3/2020,B,Sha Tau Kok,Departure,0,0,0,0
8/3/2020,B,Shenzhen Bay,Arrival,1386,252,9,1647
8/3/2020,B,Shenzhen Bay,Departure,1547,897,678,3122
8/3/2020,B,China Ferry Terminal,Arrival,0,0,0,0
8/3/2020,B,China Ferry Terminal,Departure,0,0,0,0
8/3/2020,B,Harbour Control,Arrival,0,0,0,0
8/3/2020,B,Harbour Control,Departure,0,0,0,0
8/3/2020,B,Kai Tak Cruise Terminal,Arrival,0,0,0,0
8/3/2020,B,Kai Tak Cruise Terminal,Departure,0,0,0,0
8/3/2020,B,Macau Ferry Terminal,Arrival,0,0,0,0
8/3/2020,B,Macau Ferry Terminal,Departure,0,0,0,0
