Date,Festive Period,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
19/4/2019,C,Shenzhen Bay,Arrival,24803,13266,2772,40841
19/4/2019,C,Shenzhen Bay,Departure,72830,13754,1665,88249
19/4/2019,C,China Ferry Terminal,Arrival,2778,1217,1850,5845
19/4/2019,C,China Ferry Terminal,Departure,10636,1421,1417,13474
19/4/2019,C,Harbour Control,Arrival,1,0,104,105
19/4/2019,C,Harbour Control,Departure,0,0,3,3
19/4/2019,C,Kai Tak Cruise Terminal,Arrival,1001,3043,47,4091
19/4/2019,C,Kai Tak Cruise Terminal,Departure,3879,728,631,5238
19/4/2019,C,Macau Ferry Terminal,Arrival,13216,1321,5367,19904
19/4/2019,C,Macau Ferry Terminal,Departure,21872,1487,4687,28046
19/4/2019,C,Tuen Mun Ferry Terminal,Arrival,1049,6,97,1152
19/4/2019,C,Tuen Mun Ferry Terminal,Departure,1791,25,23,1839
20/4/2019,C,Airport,Arrival,43572,12896,25898,82366
20/4/2019,C,Airport,Departure,44172,10732,28831,83735
20/4/2019,C,Express Rail Link West Kowloon,Arrival,12396,19531,2552,34479
20/4/2019,C,Express Rail Link West Kowloon,Departure,24175,15840,1402,41417
20/4/2019,C,Hung Hom,Arrival,2163,1251,648,4062
20/4/2019,C,Hung Hom,Departure,4594,1000,438,6032
20/4/2019,C,Lo Wu,Arrival,96913,30500,2665,130078
20/4/2019,C,Lo Wu,Departure,120410,31567,2312,154289
20/4/2019,C,Lok Ma Chau Spur Line,Arrival,53428,33666,982,88076
20/4/2019,C,Lok Ma Chau Spur Line,Departure,69004,30732,711,100447
20/4/2019,C,Hong Kong-Zhuhai-Macao Bridge,Arrival,29980,15847,5741,51568
20/4/2019,C,Hong Kong-Zhuhai-Macao Bridge,Departure,36536,22396,5715,64647
20/4/2019,C,Lok Ma Chau,Arrival,29161,13079,1522,43762
20/4/2019,C,Lok Ma Chau,Departure,25983,10404,1056,37443
20/4/2019,C,Man Kam To,Arrival,1547,3188,77,4812
20/4/2019,C,Man Kam To,Departure,2007,1809,24,3840
20/4/2019,C,Sha Tau Kok,Arrival,2430,1122,184,3736
20/4/2019,C,Sha Tau Kok,Departure,3397,918,82,4397
20/4/2019,C,Shenzhen Bay,Arrival,33155,27043,2906,63104
20/4/2019,C,Shenzhen Bay,Departure,45603,27062,1764,74429
20/4/2019,C,China Ferry Terminal,Arrival,4449,1503,1498,7450
20/4/2019,C,China Ferry Terminal,Departure,6131,1505,1624,9260
20/4/2019,C,Harbour Control,Arrival,2,1,159,162
20/4/2019,C,Harbour Control,Departure,0,0,15,15
20/4/2019,C,Kai Tak Cruise Terminal,Arrival,911,192,3812,4915
20/4/2019,C,Kai Tak Cruise Terminal,Departure,763,371,27,1161
20/4/2019,C,Macau Ferry Terminal,Arrival,17119,1278,4844,23241
20/4/2019,C,Macau Ferry Terminal,Departure,16922,1643,4847,23412
20/4/2019,C,Tuen Mun Ferry Terminal,Arrival,1395,14,46,1455
20/4/2019,C,Tuen Mun Ferry Terminal,Departure,1285,24,43,1352
21/4/2019,C,Airport,Arrival,59308,11766,23072,94146
21/4/2019,C,Airport,Departure,39595,12921,34322,86838
21/4/2019,C,Express Rail Link West Kowloon,Arrival,26608,14750,1437,42795
21/4/2019,C,Express Rail Link West Kowloon,Departure,13050,18736,2042,33828
21/4/2019,C,Hung Hom,Arrival,5777,1235,355,7367
21/4/2019,C,Hung Hom,Departure,2079,1287,574,3940
21/4/2019,C,Lo Wu,Arrival,146295,29269,2410,177974
21/4/2019,C,Lo Wu,Departure,96370,35486,2580,134436
21/4/2019,C,Lok Ma Chau Spur Line,Arrival,77898,36318,872,115088
21/4/2019,C,Lok Ma Chau Spur Line,Departure,59928,33836,1011,94775
21/4/2019,C,Hong Kong-Zhuhai-Macao Bridge,Arrival,44425,14458,5691,64574
21/4/2019,C,Hong Kong-Zhuhai-Macao Bridge,Departure,32780,20520,7052,60352
21/4/2019,C,Lok Ma Chau,Arrival,41619,15990,979,58588
21/4/2019,C,Lok Ma Chau,Departure,24702,13886,1588,40176
21/4/2019,C,Man Kam To,Arrival,2517,5454,127,8098
21/4/2019,C,Man Kam To,Departure,1678,2517,52,4247
21/4/2019,C,Sha Tau Kok,Arrival,3729,1172,99,5000
21/4/2019,C,Sha Tau Kok,Departure,2786,1078,150,4014
21/4/2019,C,Shenzhen Bay,Arrival,66178,23812,1869,91859
21/4/2019,C,Shenzhen Bay,Departure,34068,30006,2645,66719
